"Id","SalePrice"
1461,115605.804532594
1462,164564.742762345
1463,184779.077814433
1464,198447.351479835
1465,179131.151770046
1466,174535.695754333
1467,173124.19607709
1468,167346.95398325
1469,185727.014190505
1470,122999.300964879
1471,204030.067322559
1472,97246.483615381
1473,97319.9813363965
1474,152002.486827544
1475,116923.9422524
1476,386829.741625308
1477,260479.017955667
1478,281193.900897298
1479,271309.400540232
1480,481213.872280647
1481,334461.624769438
1482,209178.616169402
1483,172393.27720571
1484,162344.361106314
1485,178160.264113593
1486,196233.573179151
1487,317829.168552448
1488,242137.587370741
1489,199412.311026966
1490,217129.987979251
1491,192962.016203527
1492,83798.9877353396
1493,175829.22542905
1494,293589.883681651
1495,295816.677059448
1496,233416.928666854
1497,184045.792036104
1498,165308.626779288
1499,157872.10071107
1500,153904.81394452
1501,172691.760858907
1502,146380.916708501
1503,288609.885148171
1504,244981.852907264
1505,229014.987071715
1506,186446.528481659
1507,245294.36769617
1508,207748.717070557
1509,158486.507927601
1510,147669.379205486
1511,146444.718164788
1512,176454.034966509
1513,141204.441442187
1514,177199.455186694
1515,195960.873274648
1516,152372.230522515
1517,160165.536244455
1518,133686.885300722
1519,221602.788996965
1520,133960.838597551
1521,134722.357345419
1522,171300.947685452
1523,112533.841531766
1524,126991.503475686
1525,122787.745202164
1526,119646.061086578
1527,107109.303707085
1528,141386.988305108
1529,146158.235036803
1530,182904.400842488
1531,109130.058410762
1532,93011.9997299231
1533,147701.310288081
1534,124725.37809115
1535,154874.455324462
1536,115929.797694701
1537,61165.0733915427
1538,159433.763763497
1539,191734.446315902
1540,99734.2008517119
1541,136310.386628985
1542,132757.166417713
1543,216233.486313755
1544,73907.9301885926
1545,114605.955271371
1546,127055.248862404
1547,123083.598468519
1548,127512.487485638
1549,115161.225208842
1550,134085.841920447
1551,110832.30747255
1552,133311.238913346
1553,138505.47292865
1554,114844.71975913
1555,163023.588975273
1556,88431.5805353409
1557,106635.073761415
1558,96033.1684910529
1559,82916.2367742832
1560,138923.9324684
1561,133499.516813181
1562,128037.054319084
1563,118239.798658513
1564,150487.996414555
1565,145813.601933317
1566,241045.520076862
1567,74736.3140528621
1568,239276.197416073
1569,131729.904396781
1570,135347.642931502
1571,119720.663511416
1572,142226.254365304
1573,224852.133192371
1574,118988.026713429
1575,227138.953303546
1576,237920.846539505
1577,187645.414493789
1578,148061.693617546
1579,143657.105426813
1580,199877.084126145
1581,153697.137282165
1582,127716.635832784
1583,340237.375752908
1584,231820.354568654
1585,137976.609154836
1586,70796.4928738994
1587,98060.2389879676
1588,143761.670522853
1589,92255.2871920323
1590,128415.105589216
1591,94711.0636269596
